"File Directory Name" Shell7 Shell3 Shell1 Shell+ Insertion
../data/data1.1024 37631 42769 81338 161738 264541
../data/data1.2048 146206 161122 309154 616482 1027236
../data/data1.4096 596750 644604 1245146 2486500 4183804
../data/data1.8192 2416547 2544475 4968304 9929326 16928767
../data/data1.16384 9517307 9887421 19419150 38823878 66641183
../data/data1.32768 38270741 39315471 77614953 155201165 267933908
